method,FEM,FEM,PINNs,PINNs,Add,Add,Mult3,Mult3,Mult100,Mult100
"58 : 0.79,0.22,0.35",0.03646895380894277,0.008785697556976795,0.0030636579857243455,0.0030636579857156398,0.0007642824393700437,0.0003037207295379416,0.0007963080037320255,0.00030326177685481977,0.0007649846548581674,0.0003037043840717532
"59 : 0.93,0.7,0.03",0.02529890376507224,0.0060457397554500285,0.00973845389904704,0.00973845389904128,0.0014177112873163863,0.0003621326860722475,0.0013725476765654,0.00035106260575184215,0.0014159822753570769,0.0003616392553029083
"60 : 0.16,0.62,0.58",0.06529904995694567,0.01572770746611372,0.005449425037590588,0.005449425038576695,0.0027164384232469855,0.0009122131101700981,0.002811250181025574,0.0008913809439945909,0.002717856097886629,0.0009115946528887392
"61 : 0.24,0.93,0.61",0.057278008064389964,0.013779546865942514,0.004849004737149288,0.004849004739260352,0.0028238788118545646,0.0008144536686504231,0.0026850583735648676,0.0007887863395163043,0.002821500032507821,0.0008138954836109513
"62 : 0.54,0.59,0.73",0.06340037383536638,0.015279490539321072,0.005300419607226908,0.0053004196079931955,0.003078074245191954,0.0008794411865572331,0.0031513409945426525,0.0008878116426786469,0.003079536803133542,0.0008797576496120216
"63 : 0.31,0.4,0.21",0.04466066774534112,0.010732438799415104,0.008233109369102995,0.008233109368865319,0.0011864608063887638,0.0003414943777412421,0.0011791258757001216,0.00034156664789518056,0.0011858843002307458,0.0003414427302700147
"64 : 0.19,0.94,0.74",0.06180155098210241,0.01487750354048448,0.0044121204874814,0.004412120488412647,0.0012985385861049188,0.00048716187357497896,0.0012172861055077683,0.00048331343271469353,0.00129658450547522,0.0004869925207188667
"65 : 0.49,0.23,0.25",0.04116941556303254,0.009915451199371185,0.00874366533339394,0.008743665333130838,0.0009810979104608074,0.0003232102493730715,0.0009967137579022848,0.0003232292812538908,0.0009811069460192792,0.00032316094881060714
"66 : 0.06,0.43,0.31",0.060166482299740684,0.01447947686133714,0.00597336575367299,0.005973365753995819,0.0012137562690574199,0.0004222219787451024,0.0012163247740629049,0.00042486689752037853,0.001213599592267272,0.00042227829375504654
"67 : 0.7,0.38,0.18",0.028092722635073786,0.006742651379643545,0.004946694601390752,0.004946694601313209,0.0006638785806847919,0.00020621916559929038,0.0006931718263195497,0.00020700082595982957,0.000664632302203079,0.00020621460879672107
"68 : 0.02,0.07,0.68",0.08753637894394467,0.021119911382882953,0.01651245894202312,0.016512458941373303,0.0043384491589170465,0.0012200773056476716,0.004228748078080896,0.0011751268907745005,0.0043350000106263656,0.0012187186910266757
"69 : 0.45,0.54,0.9",0.07178622585713336,0.01730886003106791,0.005059730495495118,0.005059730505899624,0.002068221380771256,0.0006871941518219995,0.002176238604924262,0.0007078345975223886,0.0020707854653012887,0.0006877713257006873
"70 : 0.99,0.22,0.66",0.049326676531963785,0.011894378896183815,0.005227409441815051,0.0052274094419456785,0.003241642890588854,0.0009296656048130103,0.0033254380363267285,0.0009431292050970341,0.0032439156973533374,0.0009302418423656992
"71 : 0.26,0.02,0.76",0.08311177663437098,0.020052278343795124,0.009861964722151171,0.009861964722456493,0.0034544257112156017,0.0011058084826652778,0.0033162405355351265,0.0010533377728358649,0.003450585873838168,0.0011043806844976852
"72 : 0.32,0.38,0.59",0.06997821341273983,0.016871050592534572,0.005668356194872515,0.005668356196093473,0.0020770612019322615,0.0007831696687705305,0.0021658474760985745,0.0007716988661692984,0.0020785226157582267,0.0007827403219557071
"73 : 0.83,0.63,0.87",0.05965502857781924,0.01437880749450728,0.008815650286879126,0.00881565030747914,0.0051616991742498225,0.001137198802346494,0.004772610065560563,0.0011044978140959667,0.005158706768759927,0.0011359698055857102
"74 : 0.27,0.8,0.19",0.041259114838586144,0.009882989245076405,0.00331809486984537,0.003318094870010701,0.0009200219631346373,0.0003283252379628314,0.0009860372850462582,0.00033145562664750963,0.000921413032634144,0.00032838925801512695
"75 : 0.95,0.69,0.22",0.02886109351353366,0.0069164784554902325,0.004544420799112187,0.0045444207991916985,0.001795407625582178,0.0005119856019989883,0.001734517714161795,0.0004907960615236508,0.0017943514258404146,0.0005114957647450702
"76 : 0.95,0.73,0.25",0.030842962637022707,0.007395224137598295,0.00480273785767458,0.004802737857728678,0.0021595072263567478,0.0006089616914253564,0.0021143805616632505,0.0005905359682175495,0.002158984071004261,0.000608566164885199
"77 : 0.21,0.52,0.03",0.03695181598375959,0.008834912464573711,0.008341318978143194,0.008341318978198368,0.0014294204254423474,0.0003528815048082966,0.00133884415407556,0.00033486286342493176,0.0014269395016579425,0.00035237813526997006
"78 : 0.21,0.42,0.37",0.06137646875451666,0.014780254386601655,0.004701908028304926,0.004701908028362459,0.0011345231761173272,0.00043356549183190004,0.001186923920680393,0.0004348755180463189,0.0011358302981329979,0.0004335634720678147
"79 : 0.46,0.28,0.59",0.06638653228008393,0.01600938724070467,0.004685950529654903,0.004685950530665813,0.0018036355228855942,0.0007044604379645465,0.0018851533846578694,0.0006979137325467047,0.0018049707870515536,0.0007041806379748064
"80 : 0.86,0.12,0.52",0.04590185567612004,0.011068495551588868,0.00346421217588066,0.0034642121760495637,0.0016099541144615147,0.000547029727195629,0.0016352198126880746,0.0005503819444547055,0.0016105725229074224,0.000547187444833953
"81 : 0.13,0.72,0.4",0.05415851173365349,0.013019708692581402,0.0041495535726217905,0.004149553572920308,0.0016275363828898467,0.0005870526132058738,0.0017046709107315745,0.0005776530625660752,0.0016291988291099171,0.0005867680867683051
